"Organisation","Full Name","Post Title","Office Tel"
"Fire Services Department","Mr. LI Kin Yat, Daryl, FSDSM","Director of Fire Services","2733 7711,2739 0989"
"Fire Services Department","Mr. LEUNG Wai Hung, Joseph, FSDSM","Dep Director of Fire Services","2733 7722,2723 3244"
""
"Organisation","Service Name","Office Tel"
"Fire Services Department","Enquiry","2723 8787"
""
"Organisation","Department","Full Name","Post Title","Office Tel"
"Fire Services Department","Fire Safety Command,New Projects Division (NP)","Mr. CHENG Chit Fai","Asst Div Offr (New Projects)21","2733 5815"
"Fire Services Department","Fire Safety Command,New Projects Division (NP)","Mr. CHOI Wah Cheung","Asst Div Offr (New Projects)22","2733 5827"
"Fire Services Department","Fire Safety Command,New Projects Division (NP)","Mr. FUNG Yau Cheong","CO (New Projects)","2733 7593"
"Fire Services Department","New Projects Division (NP),Airport Expansion Project (AEP)","Mr. MAU Yu Keung","Div Offr (Airport Expansion Project)","2733 5898"
"Fire Services Department","New Projects Division (NP),Airport Expansion Project (AEP)","Mr. CHUNG Kin Kee","Asst Div Offr (Airport Expansion Project)","2733 5812"
"Fire Services Department","New Projects Division (NP),Airport Expansion Project (AEP)","Mr. MA Chun Yue","Engr (Airport Expansion Project)","2733 4095"
"Fire Services Department","New Projects Division (NP),Airport Expansion Project (AEP)","Mr. CHEUNG Wai Bun","Prin Tech Offr (Airport Expansion Project)","2733 4096"
"Fire Services Department","Fire Safety Command,Railway Development Strategy Division (RDS)","Mr. WAN Kam Ming","Sr Div Offr (Railway Development Strategy)","2259 6211"
"Fire Services Department","Fire Safety Command,Railway Development Strategy Division (RDS)","Mr. PANG Kin On","Div Offr (Railway Development Strategy)","2259 6212"
"Fire Services Department","Fire Safety Command,Railway Development Strategy Division (RDS)","Mr. CHAN King Keung","Asst Div Offr (Railway Development Strategy)1","2259 6213"
"Fire Services Department","Fire Safety Command,Railway Development Strategy Division (RDS)","Mr. FOO Chi Hung","Asst Div Offr (Railway Development Strategy)2","2259 6215"
"Fire Services Department","Fire Safety Command,Railway Development Strategy Division (RDS)","Mr. MAK Chi Chung","Engr (Railway Development Strategy)1","2259 6216"
"Fire Services Department","Fire Safety Command,Railway Development Strategy Division (RDS)","Mr. LUI Chung Ming","Engr (Railway Development Strategy)2","2259 6218"
"Fire Services Department","Fire Safety Command,Railway Development Strategy Division (RDS)","Mr. LAU Tze Man","Prin Tech Offr (Railway Development Strategy)","2259 6250"
"Fire Services Department","Fire Safety Command,Support Division (SUP)","Mr. LEE Koon Yau","Sr Div Offr (Support)","2170 9500"
"Fire Services Department","Fire Safety Command,Support Division (SUP)","Mr. WONG Heung Wing","Div Offr (Support)","2170 9501"
"Fire Services Department","Fire Safety Command,Support Division (SUP)","Mr. WATT Wing Lun","Asst Div Offr (Support)1","2170 9502"
"Fire Services Department","Fire Safety Command,Support Division (SUP)","Mr. YEUNG Chi Yung","Asst Div Offr (Support)2","2170 9624"
"Fire Services Department","Support Division (SUP),Community Relations Section","Mr. CHOW Siu Choy","Asst Div Offr (Community Relations) 1","2170 9636"
"Fire Services Department","Support Division (SUP),Community Relations Section","Mr. CHIU Wing Fai","Asst Div Offr (Community Relations) 2","2411 8627"
"Fire Services Department","Support Division (SUP),Community Relations Section","Mr. TSE Ying Kit","Asst Div Offr (Community Relations) 3","2411 8628"
"Fire Services Department","Fire Services Department,Fire Services Headquarters Command","Mr. YEUNG Yan Kin","Assistant Director (Headquarters)","2733 7733,2724 4699"
"Fire Services Department","Fire Services Department,Fire Services Headquarters Command","Mr. WONG Chun Yip","Dep Ch Fire Offr (Headquarters)","2723 4477,2733 7734"
"Fire Services Department","Fire Services Department,Fire Services Headquarters Command","Mr. NGAI Tak Yung, FSDSM","Dep Ch Fire Offr (Quality Assurance and Management)","2733 4000"
"Fire Services Department","Fire Services Department,Fire Services Headquarters Command","Mr. KWOK Pak Chiu, Ryan","Dep Ch Fire Offr (Headquarters) (Ag)","2723 4477,2733 7734"
"Fire Services Department","Fire Services Department,Fire Services Headquarters Command","Mr. WAN Shun Leung, Vincent","Ch Executive Offr (Headquarters Services)","2733 7804"
"Fire Services Department","Fire Services Headquarters Command,E & M Electronic Maintenance Centre","Mr. TSE Leung Sun","Sr Electronic Insp","2733 7558"
"Fire Services Department","Fire Services Headquarters Command,Fire and Ambulance Services Academy (FASA)","Mr. NGAI Tak Yung, FSDSM","Commandant, Fire and Ambulance Services Academy","2411 8801"
"Fire Services Department","Fire Services Headquarters Command,Fire and Ambulance Services Academy (FASA)","Mr. LI Chun Kit","Dep Commandant (Fire Services Training)","2411 8802"
"Fire Services Department","Fire Services Headquarters Command,Fire and Ambulance Services Academy (FASA)","Mr. WONG Ronald","Sr Div Offr (Technical Rescue) (Ag)","2411 8805"
"Fire Services Department","Fire Services Headquarters Command,Fire and Ambulance Services Academy (FASA)","Mr. NG Hau Ming","Dep Commandant (Ambulance Services Training)","2411 8701"
